Artist,Set,Keyword,Common (⭐),Uncommon (⭐⭐),Rare (⭐⭐⭐),Epic (⭐⭐⭐⭐),Legendary (⭐⭐⭐⭐⭐),Secret (Gold) (⭐⭐⭐⭐⭐),Album Completion Reward,Grand Album Reward
ThảoCTP,1,Items,8,1,n/a,n/a,n/a,n/a,100 Coins,200 Coins
"ThiệnBD
(5 md)",2,Transport,7,2,n/a,n/a,n/a,n/a,2x Scissors,2x Scissors
"LiênPT
(5 md)",3,Souvenirs,7,1,1,n/a,n/a,n/a,2x Hammer,2x Hammer
"Hưng
(5 md)",4,Cuisine,5,3,1,n/a,n/a,n/a,150 Coins,300 Coins
"Trang
(5 md)",5,Camping,3,4,1,1,n/a,n/a,2x Scissors,2x Scissors
"Nghĩa 
(5 md)",6,Beach,2,4,1,1,1,n/a,2x Broom,2x Broom
"Vĩ
(5 md)",7,Retreat,1,3,2,1,1,1,200 Coins,400 Coins
"Linh - Hoa - Ngọc Anh 
(5 md)",8,Theme Park,0,4,2,1,1,1,2x Hammer,2x Hammer
 Ngọc Anh,9,Nature ,n/a,3,2,1,2,1,2x Broom,2x Broom
"Chi
(5 md)",10,Ice Nature,n/a,2,2,2,1,2,300 Coins,600 Coins
LienPT,11,Museum,n/a,1,3,1,2,2,3x Scissors,3x Scissors
"Vĩ
(5 md)",12,Culture,n/a,n/a,3,2,2,2,3x Hammer,3x Hammer
,13,Landmark,n/a,n/a,3,2,1,3,500 Coins,1000 Coins
"Phong + Hưng
(5 md)",14,Festivals,n/a,n/a,2,2,2,3,3x Hammer,3x Hammer
ThiệnBD,15,Wonders,n/a,n/a,n/a,4,2,3,3x Broom,3x Broom
,Total,"Travel 
(Badge: Compass)",33,28,23,18,15,18,Grand Prize: Exclusive Badge + 5000 Coins + 5x Booster Set,Grand Prize: Diamond Exclusive Badge + 10000 Coins + 10x Booster Set
