Stage,Token Required,Reward,Total,Level Needed (Divided by 5),Coin Equivalent,Note
1,3,15m Heart,3,"0,6",30,
2,5,1x Scissors,8,"1,6",120,
3,7,15m x2 Key,15,3,0,
4,10,1x Bronze Pack,25,5,100,
5,8,1x Hammer,33,"6,6",160,
6,7,1x Broom,40,8,240,
7,12,1x Bronze Pack,52,"10,4",100,
8,15,30m x2 Key,67,"13,4",0,
9,10,1x Scissors,77,"15,4",120,  
10,12,1x Emerald Pack,89,"17,8",200,
11,10,30m Heart,99,"19,8",60,
12,12,80 Coins,111,"22,2",80,
13,15,1x Emerald Pack,126,"25,2",200,
14,12,1x Broom,138,"27,6",240,
15,16,30m x2 Key,154,"30,8",0,
16,10,120 Coins,164,"32,8",120,
17,12,1x Silver Pack,176,"35,2",320,
18,16,1x Scissors ,192,"38,4",120,
19,12,1h Heart,204,"40,8",300,
20,10,200 Coins,214,"42,8",200,
21,15,1x Amethyst Pack,229,"45,8",480,
22,12,1x Hammer,229,"45,8",160,
23,18,1h x2 Key,259,"51,8",0,
24,20,1x Ruby Pack,279,"55,8",680,
25,25,1000 Coins,304,"60,8",1000,
Total,304,,,,5030,About $15 value
